date_hour,trip_count
2009-01-25 22,14
2009-01-25 23,7
2009-01-26 00,6
2009-01-26 01,7
2009-01-26 02,1
2009-01-26 03,3
2009-01-26 04,2
2009-01-26 05,4
2009-01-26 06,12
2009-01-26 07,14
2009-01-26 08,22
2009-01-26 09,21
2009-01-26 10,13
2009-01-26 11,13
2009-01-26 12,11
2009-01-26 13,25
2009-01-26 14,28
2009-01-26 15,22
2009-01-26 16,16
2009-01-26 17,23
2009-01-26 18,22
2009-01-26 19,25
2009-01-26 20,28
2009-01-26 21,21
2009-01-26 22,22
2009-01-26 23,19
2009-01-27 00,13
2009-01-27 01,6
2009-01-27 02,5
2009-01-27 03,2
2009-01-27 04,2
2009-01-27 05,6
2009-01-27 06,15
2009-01-27 07,21
2009-01-27 08,18
2009-01-27 09,27
2009-01-27 10,11
2009-01-27 11,18
2009-01-27 12,24
2009-01-27 13,19
2009-01-27 14,25
2009-01-27 15,29
2009-01-27 16,17
2009-01-27 17,21
2009-01-27 18,37
2009-01-27 19,35
2009-01-27 20,30
2009-01-27 21,25
2009-01-27 22,25
2009-01-27 23,13
2009-01-28 00,5
2009-01-28 01,2
2009-01-28 02,8
2009-01-28 03,1
2009-01-28 04,2
2009-01-28 05,5
2009-01-28 06,9
2009-01-28 07,12
2009-01-28 08,31
2009-01-28 09,33
2009-01-28 10,16
2009-01-28 11,19
2009-01-28 12,12
2009-01-28 13,29
2009-01-28 14,15
2009-01-28 15,23
2009-01-28 16,16
2009-01-28 17,18
2009-01-28 18,33
2009-01-28 19,27
2009-01-28 20,30
2009-01-28 21,30
2009-01-28 22,17
2009-01-28 23,21
2009-01-29 00,9
2009-01-29 01,7
2009-01-29 02,3
2009-01-29 03,2
2009-01-29 04,4
2009-01-29 05,3
2009-01-29 06,12
2009-01-29 07,19
2009-01-29 08,26
2009-01-29 09,29
2009-01-29 10,23
2009-01-29 11,18
2009-01-29 12,21
2009-01-29 13,23
2009-01-29 14,12
2009-01-29 15,20
2009-01-29 16,26
2009-01-29 17,19
2009-01-29 18,27
2009-01-29 19,35
2009-01-29 20,41
2009-01-29 21,23
2009-01-29 22,39
2009-01-29 23,18
2009-01-30 00,19
2009-01-30 01,16
2009-01-30 02,14
2009-01-30 03,9
2009-01-30 04,1
2009-01-30 05,4
2009-01-30 06,12
2009-01-30 07,23
2009-01-30 08,31
2009-01-30 09,26
2009-01-30 10,17
2009-01-30 11,34
2009-01-30 12,34
2009-01-30 13,29
2009-01-30 14,27
2009-01-30 15,24
2009-01-30 16,18
2009-01-30 17,18
2009-01-30 18,28
2009-01-30 19,39
2009-01-30 20,49
2009-01-30 21,43
2009-01-30 22,24
2009-01-30 23,33
2009-01-31 00,31
2009-01-31 01,19
2009-01-31 02,17
2009-01-31 03,21
2009-01-31 04,6
2009-01-31 05,5
2009-01-31 06,3
2009-01-31 07,11
2009-01-31 08,10
2009-01-31 09,10
2009-01-31 10,22
2009-01-31 11,26
2009-01-31 12,18
2009-01-31 13,19
2009-01-31 14,24
2009-01-31 15,15
2009-01-31 16,20
2009-01-31 17,31
2009-01-31 18,29
2009-01-31 19,29
2009-01-31 20,38
2009-01-31 21,31
2009-01-31 22,22
2009-01-31 23,33
2009-02-01 00,18
2009-02-01 01,18
2009-02-01 02,30
2009-02-01 03,16
2009-02-01 04,16
2009-02-01 05,8
2009-02-01 06,3
2009-02-01 07,2
2009-02-01 08,7
2009-02-01 09,12
2009-02-01 10,13
2009-02-01 11,19
2009-02-01 12,23
2009-02-01 13,16
2009-02-01 14,20
2009-02-01 15,21
2009-02-01 16,20
2009-02-01 17,18
2009-02-01 18,19
2009-02-01 19,10
2009-02-01 20,12
2009-02-01 21,11
2009-02-01 22,15
2009-02-01 23,18
2009-02-02 00,13
2009-02-02 01,5
2009-02-02 02,6
2009-02-02 03,2
2009-02-02 04,5
2009-02-02 05,3
2009-02-02 06,13
2009-02-02 07,17
2009-02-02 08,40
2009-02-02 09,22
2009-02-02 10,11
2009-02-02 11,10
2009-02-02 12,14
2009-02-02 13,15
2009-02-02 14,22
2009-02-02 15,23
2009-02-02 16,20
2009-02-02 17,19
2009-02-02 18,19
2009-02-02 19,43
2009-02-02 20,18
2009-02-02 21,23
2009-02-02 22,21
2009-02-02 23,16
2009-02-03 00,5
2009-02-03 01,2
2009-02-03 02,3
2009-02-03 03,3
2009-02-03 05,1
2009-02-03 06,9
2009-02-03 07,17
2009-02-03 08,22
2009-02-03 09,32
2009-02-03 10,23
2009-02-03 11,18
2009-02-03 12,23
2009-02-03 13,23
2009-02-03 14,40
2009-02-03 15,27
2009-02-03 16,20
2009-02-03 17,25
2009-02-03 18,25
2009-02-03 19,27
2009-02-03 20,20
2009-02-03 21,27
2009-02-03 22,20
2009-02-03 23,13
2009-02-04 00,7
2009-02-04 01,7
2009-02-04 02,4
2009-02-04 04,1
2009-02-04 05,5
2009-02-04 06,11
2009-02-04 07,17
2009-02-04 08,27
2009-02-04 09,24
2009-02-04 10,4
2009-02-04 11,11
2009-02-04 12,17
2009-02-04 13,10
2009-02-04 14,17
2009-02-04 15,18
2009-02-04 16,11
2009-02-04 17,18
2009-02-04 18,13
2009-02-04 19,17
2009-02-04 20,20
2009-02-04 21,32
2009-02-04 22,21
2009-02-04 23,13
2009-02-05 00,13
2009-02-05 01,7
2009-02-05 02,5
2009-02-05 03,2
2009-02-05 04,2
2009-02-05 05,2
2009-02-05 06,10
2009-02-05 07,14
2009-02-05 08,20
2009-02-05 09,38
2009-02-05 10,24
2009-02-05 11,28
2009-02-05 12,26
2009-02-05 13,10
2009-02-05 14,13
2009-02-05 15,26
2009-02-05 16,16
2009-02-05 17,26
2009-02-05 18,34
2009-02-05 19,36
2009-02-05 20,27
2009-02-05 21,26
2009-02-05 22,31
2009-02-05 23,22
2009-02-06 00,16
2009-02-06 01,10
2009-02-06 02,4
2009-02-06 03,4
2009-02-06 04,4
2009-02-06 05,1
2009-02-06 06,8
2009-02-06 07,23
2009-02-06 08,27
2009-02-06 09,30
2009-02-06 10,24
2009-02-06 11,15
2009-02-06 12,30
2009-02-06 13,19
2009-02-06 14,21
2009-02-06 15,15
2009-02-06 16,13
2009-02-06 17,33
2009-02-06 18,39
2009-02-06 19,45
2009-02-06 20,40
2009-02-06 21,25
2009-02-06 22,38
2009-02-06 23,23
2009-02-07 00,33
2009-02-07 01,27
2009-02-07 02,14
2009-02-07 03,13
2009-02-07 04,8
2009-02-07 05,7
2009-02-07 06,3
2009-02-07 07,7
2009-02-07 08,10
2009-02-07 09,11
2009-02-07 10,20
2009-02-07 11,15
2009-02-07 12,24
2009-02-07 13,18
2009-02-07 14,17
2009-02-07 15,14
2009-02-07 16,17
2009-02-07 17,27
2009-02-07 18,28
2009-02-07 19,26
2009-02-07 20,23
2009-02-07 21,24
2009-02-07 22,25
2009-02-07 23,22
2009-02-08 00,26
2009-02-08 01,28
2009-02-08 02,22
2009-02-08 03,25
2009-02-08 04,15
2009-02-08 05,6
2009-02-08 06,3
2009-02-08 07,4
2009-02-08 08,8
2009-02-08 09,13
2009-02-08 10,23
2009-02-08 11,17
2009-02-08 12,19
2009-02-08 13,17
2009-02-08 14,19
2009-02-08 15,24
2009-02-08 16,13
2009-02-08 17,18
2009-02-08 18,24
2009-02-08 19,20
2009-02-08 20,19
2009-02-08 21,12
2009-02-08 22,13
2009-02-08 23,11
2009-02-09 00,8
2009-02-09 01,7
2009-02-09 02,3
2009-02-09 04,2
2009-02-09 05,4
2009-02-09 06,8
2009-02-09 07,25
2009-02-09 08,24
2009-02-09 09,16
2009-02-09 10,31
2009-02-09 11,19
2009-02-09 12,17
2009-02-09 13,21
2009-02-09 14,25
2009-02-09 15,22
2009-02-09 16,25
2009-02-09 17,31
2009-02-09 18,33
2009-02-09 19,26
2009-02-09 20,19
2009-02-09 21,21
2009-02-09 22,27
2009-02-09 23,20
2009-02-10 00,8
2009-02-10 01,2
2009-02-10 02,2
2009-02-10 04,3
2009-02-10 05,3
2009-02-10 06,9
2009-02-10 07,14
2009-02-10 08,15
2009-02-10 09,18
2009-02-10 10,25
2009-02-10 11,12
2009-02-10 12,15
2009-02-10 13,22
2009-02-10 14,27
2009-02-10 15,22
2009-02-10 16,27
2009-02-10 17,27
2009-02-10 18,34
2009-02-10 19,25
2009-02-10 20,23
2009-02-10 21,34
2009-02-10 22,22
2009-02-10 23,23
2009-02-11 00,6
2009-02-11 01,7
2009-02-11 02,6
2009-02-11 03,1
2009-02-11 04,2
2009-02-11 06,6
2009-02-11 07,22
2009-02-11 08,25
2009-02-11 09,33
2009-02-11 10,21
2009-02-11 11,13
2009-02-11 12,24
